txn_id,txn_date,account_id,rep_id,division,sku_id,supplier_id,cases_sold,discount_pct,revenue_usd,channel
1,2024-05-10,96,5,Fairfield County,1006,9,14,5.0,1702.4,On-Premise
2,2025-11-17,56,4,South Division,2006,15,1,0.0,408.0,On-Premise
3,2025-12-20,90,5,Fairfield County,2007,14,2,3.0,372.48,On-Premise
4,2025-12-02,138,8,Worldwide Wines,2005,8,1,0.0,420.0,Off-Premise
5,2025-06-23,166,11,Spirits Division,2011,5,12,0.0,5472.0,Off-Premise
6,2024-04-05,58,4,South Division,1004,12,5,0.0,1080.0,On-Premise
7,2025-10-23,121,14,Worldwide Wines,2002,5,1,3.0,232.8,On-Premise
8,2025-11-17,150,10,Spirits Division,1004,12,16,0.0,3456.0,On-Premise
9,2025-03-09,73,13,South Division,2014,5,3,0.0,900.0,Off-Premise
10,2025-06-04,89,7,Fairfield County,2004,7,3,0.0,1080.0,Off-Premise
11,2025-01-05,149,15,Spirits Division,2005,8,2,0.0,840.0,On-Premise
12,2024-01-19,68,4,South Division,2005,8,2,0.0,840.0,Off-Premise
13,2025-01-06,142,9,Worldwide Wines,2006,15,8,5.0,3100.8,On-Premise
14,2024-11-12,16,2,North Division,2011,5,1,5.0,433.2,Off-Premise
15,2024-07-03,13,1,North Division,2004,7,1,0.0,360.0,Off-Premise
16,2024-08-07,133,8,Worldwide Wines,1009,3,17,0.0,1428.0,On-Premise
17,2024-12-15,128,8,Worldwide Wines,2007,14,11,7.0,1964.16,Off-Premise
18,2025-05-12,56,4,South Division,2005,8,5,3.0,2037.0,On-Premise
19,2024-07-15,24,2,North Division,1009,3,3,3.0,244.44,On-Premise
20,2024-08-19,130,14,Worldwide Wines,2010,5,1,0.0,312.0,Off-Premise
21,2024-05-20,35,12,North Division,1005,13,2,3.0,302.64,On-Premise
22,2024-06-07,148,11,Spirits Division,2013,5,17,0.0,4692.0,On-Premise
23,2024-03-20,32,2,North Division,1008,2,1,0.0,72.0,On-Premise
24,2024-10-29,52,4,South Division,1002,11,18,3.0,2514.24,Off-Premise
25,2024-04-13,126,8,Worldwide Wines,1006,9,6,0.0,768.0,On-Premise
26,2025-06-03,185,10,Spirits Division,2005,8,1,0.0,420.0,On-Premise
27,2025-07-06,90,5,Fairfield County,1004,12,12,0.0,2592.0,On-Premise
28,2025-06-23,146,15,Spirits Division,2010,5,12,7.0,3481.92,On-Premise
29,2024-02-08,127,9,Worldwide Wines,1001,1,1,0.0,120.0,On-Premise
30,2025-11-08,130,14,Worldwide Wines,1010,2,10,0.0,880.0,Off-Premise
31,2024-12-10,46,3,South Division,2014,5,9,0.0,2700.0,Off-Premise
32,2025-09-24,184,10,Spirits Division,2010,5,6,0.0,1872.0,On-Premise
33,2024-05-14,159,15,Spirits Division,2006,15,1,3.0,395.76,Off-Premise
34,2025-09-03,145,9,Worldwide Wines,1003,1,1,0.0,132.0,On-Premise
35,2025-01-20,116,6,Fairfield County,1004,12,2,0.0,432.0,On-Premise
36,2024-06-06,127,9,Worldwide Wines,1002,11,2,0.0,288.0,On-Premise
37,2024-06-15,5,12,North Division,2010,5,1,0.0,312.0,On-Premise
38,2024-07-04,173,15,Spirits Division,2001,4,1,0.0,300.0,Off-Premise
39,2025-12-10,24,2,North Division,2009,4,1,0.0,288.0,On-Premise
40,2025-10-01,37,12,North Division,2003,7,3,0.0,792.0,Off-Premise
41,2024-06-18,154,15,Spirits Division,1006,9,3,0.0,384.0,On-Premise
42,2025-03-24,6,12,North Division,2007,14,13,0.0,2496.0,Off-Premise
43,2024-02-14,68,4,South Division,1010,2,2,0.0,176.0,Off-Premise
44,2025-02-24,77,3,South Division,2015,4,1,0.0,228.0,Off-Premise
45,2025-01-08,131,14,Worldwide Wines,1001,1,2,0.0,240.0,Off-Premise
46,2025-11-23,172,11,Spirits Division,2002,5,12,0.0,2880.0,On-Premise
47,2024-08-31,33,1,North Division,2005,8,3,0.0,1260.0,Off-Premise
48,2025-03-30,51,13,South Division,1007,10,10,0.0,2640.0,On-Premise
49,2025-09-17,131,14,Worldwide Wines,2010,5,2,0.0,624.0,Off-Premise
50,2024-10-18,129,8,Worldwide Wines,2003,7,1,0.0,264.0,Off-Premise
51,2025-04-04,157,10,Spirits Division,2014,5,11,0.0,3300.0,Off-Premise
52,2024-08-27,60,3,South Division,2007,14,4,0.0,768.0,On-Premise
53,2025-06-30,123,8,Worldwide Wines,1004,12,1,3.0,209.52,On-Premise
54,2024-09-01,185,10,Spirits Division,2005,8,5,0.0,2100.0,On-Premise
55,2024-11-12,40,1,North Division,1005,13,3,0.0,468.0,Off-Premise
56,2025-04-25,144,14,Worldwide Wines,1009,3,9,0.0,756.0,On-Premise
57,2024-07-17,79,3,South Division,1005,13,2,3.0,302.64,On-Premise
58,2025-01-11,143,9,Worldwide Wines,1009,3,5,0.0,420.0,On-Premise
59,2025-11-25,54,4,South Division,2010,5,1,0.0,312.0,Off-Premise
60,2025-08-07,76,3,South Division,2006,15,3,0.0,1224.0,On-Premise
61,2025-03-27,16,2,North Division,1004,12,16,3.0,3352.32,Off-Premise
62,2025-04-17,74,3,South Division,1004,12,6,0.0,1296.0,On-Premise
63,2024-10-15,50,13,South Division,2014,5,21,0.0,6300.0,On-Premise
64,2025-01-26,54,4,South Division,2011,5,9,0.0,4104.0,Off-Premise
65,2025-05-29,35,12,North Division,1007,10,14,3.0,3585.12,On-Premise
66,2025-06-24,27,1,North Division,1004,12,2,0.0,432.0,Off-Premise
67,2025-03-04,58,4,South Division,2008,6,4,0.0,672.0,On-Premise
68,2024-06-14,128,8,Worldwide Wines,2009,4,3,0.0,864.0,Off-Premise
69,2024-07-23,122,8,Worldwide Wines,1001,1,1,0.0,120.0,On-Premise
70,2025-09-11,113,6,Fairfield County,2004,7,4,0.0,1440.0,Off-Premise
71,2024-05-21,150,10,Spirits Division,2005,8,1,0.0,420.0,On-Premise
72,2024-09-13,70,13,South Division,1004,12,5,0.0,1080.0,On-Premise
73,2024-02-23,135,14,Worldwide Wines,2015,4,1,0.0,228.0,On-Premise
74,2025-10-18,42,13,South Division,2001,4,2,0.0,600.0,On-Premise
75,2025-05-07,61,3,South Division,2012,6,9,0.0,2160.0,On-Premise
76,2025-01-15,26,2,North Division,2009,4,2,3.0,558.72,Off-Premise
77,2025-07-21,33,1,North Division,2006,15,2,0.0,816.0,Off-Premise
78,2024-04-15,147,11,Spirits Division,2015,4,13,0.0,2964.0,On-Premise
79,2025-12-29,171,11,Spirits Division,2003,7,19,0.0,5016.0,On-Premise
80,2025-06-12,108,6,Fairfield County,2009,4,1,0.0,288.0,On-Premise
81,2024-05-07,52,4,South Division,1008,2,1,0.0,72.0,Off-Premise
82,2024-10-18,31,12,North Division,2014,5,1,0.0,300.0,Off-Premise
83,2024-03-26,9,1,North Division,1010,2,1,0.0,88.0,Off-Premise
84,2024-06-13,140,9,Worldwide Wines,1008,2,3,0.0,216.0,On-Premise
85,2024-10-06,20,12,North Division,1009,3,9,0.0,756.0,On-Premise
86,2025-04-05,148,11,Spirits Division,1006,9,1,3.0,124.16,On-Premise
87,2025-06-09,106,5,Fairfield County,2006,15,1,3.0,395.76,On-Premise
88,2024-05-30,181,15,Spirits Division,2014,5,15,0.0,4500.0,On-Premise
89,2025-03-23,148,11,Spirits Division,2014,5,1,0.0,300.0,On-Premise
90,2024-04-03,28,12,North Division,1009,3,1,0.0,84.0,On-Premise
91,2024-08-15,138,8,Worldwide Wines,2002,5,3,3.0,698.4,Off-Premise
92,2025-04-06,62,3,South Division,1007,10,2,3.0,512.16,Off-Premise
93,2024-12-23,34,1,North Division,2002,5,25,5.0,5700.0,Off-Premise
94,2024-01-28,50,13,South Division,2012,6,1,0.0,240.0,On-Premise
95,2025-02-28,162,15,Spirits Division,1006,9,6,0.0,768.0,On-Premise
96,2024-02-24,114,5,Fairfield County,2009,4,9,0.0,2592.0,Off-Premise
97,2025-02-09,117,6,Fairfield County,2005,8,2,0.0,840.0,On-Premise
98,2025-05-29,114,5,Fairfield County,2001,4,13,0.0,3900.0,Off-Premise
99,2025-01-17,155,10,Spirits Division,2011,5,1,0.0,456.0,On-Premise
100,2024-08-29,99,7,Fairfield County,2007,14,10,0.0,1920.0,On-Premise
101,2025-01-30,173,15,Spirits Division,2011,5,1,0.0,456.0,Off-Premise
102,2024-03-24,54,4,South Division,1009,3,1,0.0,84.0,Off-Premise
103,2025-01-18,21,1,North Division,2001,4,1,3.0,291.0,On-Premise
104,2024-08-17,34,1,North Division,2004,7,1,0.0,360.0,Off-Premise
105,2024-01-29,65,13,South Division,1010,2,9,5.0,752.4,Off-Premise
106,2024-11-22,160,10,Spirits Division,1002,11,3,5.0,410.4,On-Premise
107,2024-04-11,54,4,South Division,2015,4,1,0.0,228.0,Off-Premise
108,2025-10-27,25,2,North Division,1006,9,6,5.0,729.6,Off-Premise
109,2024-12-09,74,3,South Division,1006,9,2,3.0,248.32,On-Premise
110,2024-05-29,160,10,Spirits Division,2001,4,9,0.0,2700.0,On-Premise
111,2024-05-20,147,11,Spirits Division,2005,8,6,7.0,2343.6,On-Premise
112,2024-02-09,25,2,North Division,2011,5,3,0.0,1368.0,Off-Premise
113,2024-10-20,61,3,South Division,2015,4,2,0.0,456.0,On-Premise
114,2025-04-28,86,7,Fairfield County,1002,11,15,0.0,2160.0,On-Premise
115,2025-12-13,32,2,North Division,2013,5,16,0.0,4416.0,On-Premise
